,GDP,FEDFUNDS,LIBOR,MORTGAGE30US,REAL_USER_COST,UNEMPLOYMENT_RT,XLB,XLF,XLI,XLK,XLU,XLV,XLY,GSPC
3624,1.0,0.0,0.0,0.0,1.0,1.0,0.8771597479325703,0.10062585095155607,0.7081850743711473,0.9396297312908206,0.9056338318971164,0.9418839999545268,0.979237796964336,0.9552874773355003
3625,1.0,0.0,0.0,0.0,1.0,1.0,0.902444215575098,0.10418458097430894,0.7202110371561992,0.94566671722053,0.8979879352717266,0.9495877392057775,0.9868966894680212,0.9637457922858416
3626,1.0,0.0,0.0,0.0,1.0,1.0,0.9016013812323556,0.10774328759113973,0.7243833768332396,0.9547893396973712,0.8989939561226927,0.9502635474141096,0.9926178552045573,0.9695764548444166
3627,1.0,0.0,0.0,0.0,1.0,1.0,0.8925411933677474,0.10528898940952244,0.7224199008384704,0.9502280796354614,0.8959758168153236,0.9441815828806872,0.9862507570785216,0.9630009085500388
3628,1.0,0.0,0.0,0.0,1.0,1.0,0.8940161132789934,0.10909315393162143,0.7203337778117944,0.9526427921249276,0.9004024006649394,0.9486416695824259,0.9914182865958716,0.9721834974054346
3629,1.0,0.0,0.0,0.0,1.0,1.0,0.8898020219423877,0.10639342125065797,0.7186157831282155,0.9519720727733054,0.9066398527480826,0.9537774613786412,0.9858816427986145,0.9701598949060279
3630,1.0,0.0,0.0,0.0,1.0,1.0,0.8980194558413601,0.10541170665919547,0.7227880291815675,0.9448618130573744,0.8973843381120412,0.9483714081674064,0.9782227502949292,0.9669362749084708
3631,1.0,0.0,0.0,0.0,1.0,1.0,0.8788454166180553,0.10369371197561666,0.7119891920814021,0.9282263764300028,0.8917504831885834,0.9360723999499796,0.9653040321035792,0.9533631859322952
3632,1.0,0.0,0.0,0.0,1.0,1.0,0.8718921538560898,0.09583999524391662,0.6934592852814434,0.9227260273934044,0.904024137131994,0.9376942777816633,0.9501706986341364,0.9422647920745908
3633,1.0,0.0,0.0,0.0,1.0,1.0,0.857564371915001,0.09571727799424357,0.6874463038889174,0.9051516041443659,0.9038229636635892,0.9348560689116082,0.9411275747797864,0.9333636688489176
